"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Arrays", "Which of the following is true about arrays?", "A. Arrays are dynamic data structures.", "B. Elements of an array are stored in contiguous memory locations.", "C. Arrays can store elements of different data types.", "D. Array elements are accessed using linked lists.", "B"
"Arrays", "What is the time complexity to access an element at a specific index in an array?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Arrays", "What is the default initial value of elements in an integer array in Java if not explicitly initialized?", "A. 0", "B. 1", "C. -1", "D. Null", "A"
"Arrays", "Which operation has a time complexity of O(n) in a dynamically sized array (like ArrayList in Java) when an element is inserted at the beginning?", "A. Access", "B. Deletion at end", "C. Insertion at beginning", "D. Searching", "C"
"Arrays", "If an array is declared as `int arr[10];`, what is the valid index range?", "A. 1 to 10", "B. 0 to 9", "C. 0 to 10", "D. 1 to 9", "B"
"Arrays", "Which of the following is not a common array operation?", "A. Traversal", "B. Insertion", "C. Merging", "D. Squaring", "D"
"Arrays", "What does 'jagged array' mean?", "A. An array that stores only integers.", "B. An array of arrays where inner arrays can have different lengths.", "C. An array that cannot be modified after creation.", "D. An array that is sorted.", "B"
"Arrays", "What is the space complexity of an array of size 'n'?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Arrays", "Which data structure uses contiguous memory locations for storage?", "A. Linked List", "B. Tree", "C. Graph", "D. Array", "D"
"Arrays", "What is the maximum number of dimensions an array can have?", "A. 1", "B. 2", "C. Limited by memory, theoretically infinite.", "D. 3", "C"
"Arrays", "What happens if you try to access an array element outside its bounds?", "A. Compilation error", "B. Runtime error (e.g., ArrayIndexOutOfBoundsException)", "C. The program continues to execute normally with incorrect data.", "D. The array automatically resizes.", "B"
"Arrays", "Which of the following algorithms often uses arrays as its underlying data structure?", "A. BFS (Breadth-First Search)", "B. DFS (Depth-First Search)", "C. QuickSort", "D. Dijkstra's Algorithm (on adjacency matrix)", "C"
"Arrays", "What is the purpose of an array in programming?", "A. To store heterogeneous data types.", "B. To store a collection of similar data types.", "C. To establish relationships between data points.", "D. To represent hierarchical data.", "B"
"Arrays", "In C++, what is the size of an empty array declared as `int arr[];`?", "A. 0", "B. Undefined, compilation error.", "C. 4 bytes", "D. Compiler-dependent default size.", "B"
"Arrays", "Which of these is a disadvantage of arrays?", "A. Fast random access", "B. Fixed size (in static arrays)", "C. Efficient memory utilization", "D. Simplicity in implementation", "B"
"Arrays", "What is the time complexity to insert an element at the end of a fixed-size array that is not full?", "A. O(n)", "B. O(1)", "C. O(log n)", "D. O(n^2)", "B"
"Arrays", "What is the time complexity to search for an element in an unsorted array using linear search?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Arrays", "What is the time complexity to delete an element from the middle of an array?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n log n)", "C"
"Arrays", "Which of the following data structures is not built on top of arrays?", "A. Stack", "B. Queue", "C. Linked List", "D. Heap", "C"
"Arrays", "If an array is used to implement a stack, which operation is most efficient?", "A. Push", "B. Pop", "C. Both push and pop (O(1))", "D. Both push and pop (O(n))", "C"
